P,P,C,1B,2B,3B,SS,OF,OF,OF
28062736,28062738,28062891,28062764,28062920,28062938,28062767,28062828,28062972,28062997,
28062738,28062748,28063006,28062821,28062765,28062839,28062785,28062773,28062884,28062994,
28062738,28062748,28062806,28062863,28062980,28062812,28062902,28062757,28062770,28063002,
28062736,28062738,28063005,28062953,28062777,28062818,28062808,28062827,28062893,28062969,
28062736,28062738,28063006,28062914,28062872,28062839,28062829,28062804,28062884,28062985,
28062736,28062748,28062848,28062942,28062945,28062917,28062808,28062757,28062770,28062893,
28062736,28062746,28062848,28062953,28062765,28062818,28062785,28062827,28062970,28062994,
28062736,28062738,28062806,28062953,28062980,28062818,28062902,28062827,28062884,28063002,
28062736,28062738,28062786,28062854,28062920,28062938,28062776,28062882,28062912,28062997,
28062738,28062746,28062899,28062942,28063012,28062812,28062792,28062757,28062770,28062947,
28062746,28062748,28063005,28062764,28062777,28062812,28062767,28062828,28062889,28062969,
28062738,28062748,28063005,28062914,28062777,28062812,28062829,28062757,28062804,28062969,
28062736,28062746,28062786,28062854,28062945,28062917,28062808,28062827,28062882,28062893,
28062736,28062738,28062848,28062953,28062945,28062917,28062767,28062828,28062972,28062970,
28062746,28062748,28062837,28062942,28062777,28062812,28062937,28062757,28062770,28062962,
28062736,28062746,28062852,28062774,28062920,28062938,28062887,28062756,28062896,28062997,
28062738,28062748,28062848,28062953,28062872,28062818,28062829,28062804,28062827,28062970,
28062737,28062748,28063005,28062943,28062777,28062812,28062907,28062757,28062770,28062923,
28062736,28062737,28063087,28062953,28062791,28062818,28062817,28062827,28062893,28062970,
28062736,28062748,28062852,28062953,28062800,28062818,28062887,28062756,28062896,28062970,
28062736,28062738,28062868,28062914,28062920,28062938,28062862,28062803,28062804,28062997,
28062736,28062737,28062806,28062914,28062920,28062938,28062829,28062804,28062884,28063002,
28062746,28062748,28062891,28062764,28062800,28062788,28062767,28062828,28062968,28062972,
28062743,28062748,28062769,28062787,28062945,28062917,28062808,28062760,28062827,28062893,
28062738,28062746,28062848,28062774,28062945,28062917,28062808,28062756,28062896,28062970,
28062736,28062748,28063064,28062942,28062926,28062812,28062792,28062757,28062770,28063041,
28062746,28062748,28062849,28062763,28062844,28062810,28062767,28062828,28062859,28062972,
28062736,28062748,28062849,28062942,28062844,28062810,28062792,28062770,28062889,28062969,
28062738,28062746,28062769,28062787,28063012,28063042,28063067,28062760,28062855,28062877,
28062738,28062748,28062849,28062763,28062945,28062818,28062808,28062827,28062859,28062893,
28062736,28062738,28062837,28062821,28062980,28062802,28062902,28062773,28062962,28063002,
28062737,28062738,28062935,28062993,28062765,28063042,28062785,28062855,28062877,28062994,
28062736,28062738,28062806,28062895,28062980,28062825,28063018,28062761,28062841,28063002,
28062746,28062748,28062852,28062942,28062800,28062788,28062887,28062757,28062770,28062968,
28062743,28062746,28063005,28062854,28062777,28062812,28062776,28062757,28062969,28063037,
28062736,28062738,28063087,28063017,28062791,28062911,28062817,28062833,28062846,28062933,
28062736,28062738,28063005,28063017,28062777,28062911,28062792,28062889,28062933,28062969,
28062737,28062738,28062837,28062953,28062765,28062818,28062937,28062827,28062962,28062994,
28062737,28062738,28062899,28062993,28062945,28062917,28062808,28062827,28062893,28062947,
28062736,28062738,28062868,28062953,28062950,28062818,28062862,28062803,28062827,28063016,
28062738,28062746,28062786,28062854,28062998,28062818,28062776,28062827,28062893,28063037,
28062738,28062746,28062852,28063017,28062800,28062911,28062887,28062756,28062896,28062933,
28062736,28062738,28063025,28062953,28062918,28062818,28062907,28062794,28062827,28062853,
28062737,28062738,28062899,28062953,28063012,28062818,28063067,28062827,28062855,28062877,
28062746,28062748,28063005,28062821,28062765,28062802,28062785,28062773,28062889,28062969,
28062746,28062748,28062837,28062821,28062872,28062802,28062829,28062773,28062804,28062962,
28062738,28062746,28063005,28062942,28062778,28062796,28062792,28062768,28062889,28062969,
28062736,28062746,28063005,28062807,28062777,28062812,28062858,28062826,28062898,28062910,
28062736,28062737,28062848,28062931,28062945,28062917,28062808,28062882,28062912,28062970,
28062746,28062748,28062899,28062953,28063012,28062818,28062808,28062827,28062893,28062947,
