,Player Name,Pos,Salary,Team,Opp,Proj FP,Actual FP,Batting Order (Confirmed)
0,Kodai Senga,SP,10600,NYM,WAS,17.4,15.8,
1,Freddy Peralta,SP,10100,MIL,DET,21.6,30.5,
2,Sandy Alcantara,SP,9900,MIA,@ATL,16.4,16.6,
3,Bryce Elder,SP,9400,ATL,MIA,16.7,5.8,
4,Domingo German,SP,9200,NYY,@MIN,14.4,16.7,
5,Taijuan Walker,SP,9200,PHI,SEA,14.4,6.8,
6,Logan Gilbert,SP,9100,SEA,@PHI,16.4,10.4,
7,Hunter Brown,RP,9000,HOU,@TB,15.0,33.4,
8,Anthony DeSclafani,SP,8600,SF,STL,13.4,21.3,
9,Tanner Houck,SP,8400,BOS,@BAL,13.5,3.8,
10,Michael Wacha,SP,8300,SD,@CHC,13.4,12.3,
11,Yusei Kikuchi,SP,8200,TOR,CWS,15.5,29.8,
12,German Marquez,SP,7900,COL,@CLE,11.4,6.1,
13,Kenta Maeda,SP,7800,MIN,NYY,13.3,-17.1,
14,Michael Kopech,SP,7600,CWS,@TOR,11.1,5.3,
15,Tyler Wells,SP,7500,BAL,BOS,12.9,23.8,
16,MacKenzie Gore,SP,7500,WAS,@NYM,12.5,31.9,
17,Drew Smyly,SP,7300,CHC,SD,12.9,12.3,
18,Tony Gonsolin,SP,7000,LAD,@PIT,13.0,6.5,
19,Patrick Sandoval,SP,6500,LAA,OAK,16.4,21.6,
20,Michael Lorenzen,RP,6100,DET,@MIL,11.6,5.3,
21,Steven Matz,SP,6000,STL,@SF,15.8,5.6,
22,Roansy Contreras,SP,5700,PIT,LAD,12.3,25.1,
23,Calvin Faucher,RP,5300,TB,HOU,7.0,2.7,
24,Luis Medina,SP,5000,OAK,@LAA,8.2,2.7,
0,Ronald Acuna Jr.,OF,6500,ATL,MIA,9.4,18.0,1
1,Aaron Judge,OF,6400,NYY,@MIN,9.5,23.0,2
2,Shohei Ohtani,1B,6400,LAA,OAK,11.4,21.0,3
4,Randy Arozarena,OF,6200,TB,HOU,8.2,2.0,3
5,Rafael Devers,3B,6100,BOS,@BAL,8.5,0.0,2
6,Trea Turner,SS,6100,PHI,SEA,8.8,3.0,2
7,Vladimir Guerrero Jr.,1B,6000,TOR,CWS,10.1,16.0,3
8,Paul Goldschmidt,1B,6000,STL,@SF,8.9,36.0,2
9,Bo Bichette,SS,5900,TOR,CWS,9.4,28.0,2
10,Mike Trout,OF,5900,LAA,OAK,11.5,4.0,2
11,Pete Alonso,1B,5900,NYM,WAS,8.7,0.0,4
12,Jose Ramirez,3B,5800,CLE,COL,9.4,14.0,3
13,Julio Rodriguez,OF,5800,SEA,@PHI,8.8,14.0,1
15,Kyle Tucker,OF,5700,HOU,@TB,9.8,5.0,3
16,Matt Chapman,3B,5600,TOR,CWS,8.3,9.0,4
